"Circuit","Hard","Medium","Soft"
"Australia (Melbourne)","C3","C4","C5"
"China (Shanghai)","C2","C3","C4"
"Japan (Suzuka)","C1","C2","C3"
"Bahrain","C1","C2","C3"
"Miami","C3","C4","C5"
"Imola (Emilia-Romagna)","C2","C3","C4"
"Monaco","C3","C4","C5"
"Canada (Montreal)","C3","C4","C5"
"Spain/Barcelona","C1","C2","C3"
"Silverstone/GB","C2","C3","C4"
"Hungary/Belgia","C2","C3","C4"
"Netherlands/Zandvoort","C2","C3","C4"
"Monza (Italy)","C3","C4","C5"
"Singapore","C3","C4","C5"
"Austin (USA)","C1","C3","C4"
"Mexico","C2","C4","C5"
"Brazil (Interlagos)","C2","C3","C4"
"Las Vegas/Abu Dhabi/Yas","C3","C4","C5"
